//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
UI_NAL_Rule_Check_Fail,UI003009,CommErr_UI_NAL_Rule_Check_Fail,入网许可证不符合规则,NAL is invalide,N
UI_FA_Model_Invalide,UI003010,CommErr_UI_FA_Model_Invalide,Model不符合规则,Model name is invalide,N
UI_FA_SWVersion_Invalide,UI003011,CommErr_UI_FA_SWVersion_Invalide,软体版本不符合规则,SW version is invalide,N
UI_ACER22_Not_Input,UI003012,CommErr_UI_ACER22_Not_Input,ACER22 为输入,ACER22 has not input,N
UI_ACER22_Rule_Check_Fail,UI003013,CommErr_UI_ACER22_Rule_Check_Fail,ACER22不符合规则,Check ACER22 rule fail,N
UI_Picasso_Scaned_Fail,UI003014,CommErr_UI_Picasso_Scaned_Fail,扫描Picasso失败,Picasso Scanned fail,N
UI_ID_Invalid,UI003015,CommErr_UI_ID_Invalid,UI 不支持此 ID 类型,Invalid ID,N
//**UIDLpage,,,,,
UI_DL_Image_Not_Exist,UI004001,CommErr_UI_DL_Image_Not_Exist,Image文件不存在,Image file is not exist,N
//**UIinterface,,,,,
UI_Interface_Prerun_Fail,UI005001,CommErr_UI_Interface_Prerun_Fail,UI运行接口Prerun失败,Fail to run interface Prerun,N
UI_Interface_Setparameter_Fail,UI005002,CommErr_UI_Interface_Setparameter_Fail,UI运行接口Setparameter失败,Fail to run interface Setparameter,N
UI_Interface_Getparameter_Fail,UI005003,CommErr_UI_Interface_Getparameter_Fail,UI运行接口Getparameter失败,Fail to run interface Getparameter,N
UI_Interface_GetFA_Fail,UI005004,CommErr_UI_Interface_GetFA_Fail,UI运行接口GetFA失败,Fail to run interface GetFA,N
UI_Interface_SetFA_Fail,UI005005,CommErr_UI_Interface_SetFA_Fail,UI运行接口SetFA失败,Fail to run interface SetFA,N
UI_Interface_Begin_Fail,UI005006,CommErr_UI_Interface_Begin_Fail,UI运行接口Begin失败,Fail to run interface Begin,
//**UIpowersupply,,,,,
UI_PowerSupply_On_Fail,UI006001,CommErr_UI_PowerSupply_On_Fail,打开Powersupply失败,Fail to open powersupply,N
UI_PowerSupply_Off_Fail,UI006002,CommErr_UI_PowerSupply_Off_Fail,关闭Powersupply失败,Fail to close powersupply,N
UI_PowerSupply_Detect_Fail,UI006003,CommErr_UI_PowerSupply_Detect_Fail,未侦测到指定地址的Powersupply,Fail to detect designed powersupply,N
//**UIjigcontrol,,,,,
UI_Jig_Open_Fail,UI007001,CommErr_UI_Jig_Open_Fail,打开治具失败,Fail to open jig,N
UI_Jig_Close_Fail,UI007002,CommErr_UI_Jig_Close_Fail,闭合治具失败,Fail to close jig,N
UI_Jig_Com_Open_Fail,UI007003,CommErr_UI_Jig_Com_Open_Fail,打开治具指令串口失败,Fail to open com port,N
UI_Jig_Data_Send_Fail,UI007004,CommErr_UI_Jig_Data_Send_Fail,向治具指令串口发送数据失败,Fail to send data to com port,N
//**UIrelayboard,,,,,
UI_RelayBoard_Init_Fail,UI008001,CommErr_UI_RelayBoard_Init_Fail,初始化Relayboard失败,Fail to initial relayboard,N
UI_RelayBoard_Set_Fail,UI008002,CommErr_UI_RelayBoard_Set_Fail,设置Relayboard开关失败,Fail to set On/Off to relayboard,N
//**UICMD,,,,,
UI_Cmd_Fail,UI009001,CommErr_UI_Cmd_Fail,运行BAT命令失败,Fail to run batch command,N
UI_Cmd_Time_Syn_Fail,UI009002,CommErr_UI_Cmd_Time_Syn_Fail,运行时间同步命令失败,Fail to syn time with server,N
//**MD5,,,,,
MD5_Check_Fail,MD500001,CommErr_MD5_Check_Fail,校验MD5失败,Check MD5 fail,N
//**WVL1,,,,,
Write_WVL1_Key_Fail,WVL10001,CommErr_Write_WVL1_Key_Fail,写入WVL1 Key失败,Write WVL1 Key Fail,Y
Read_WVL1_Key_Fail,WVL10002,CommErr_Read_WVL1_Key_Fail,读取WVL1 Key失败,Read WVL1 Key Fail,Y
Remove_WVL1_Key_Fail,WVL10003,CommErr_Remove_WVL1_Key_Fail,删除WVL1 Key失败,Remove WVL1 Key Fail,Y
Compare_WVL1_Key_Fail,WVL10004,CommErr_Compare_WVL1_Key_Fail,比对WVL1 Key失败,Compare WVL1 Key Fail,Y
//**HDCP,,,,,
Write_HDCP_Key_Fail,HDCP0001,CommErr_Write_HDCP_Key_Fail,写入HDCP Key失败,Write HDCP Key Fail,Y
Read_HDCP_Key_Fail,HDCP0002,CommErr_Read_HDCP_Key_Fail,读取HDCP Key失败,Read HDCP Key Fail,Y
Remove_HDCP_Key_Fail,HDCP0003,CommErr_Remove_HDCP_Key_Fail,删除HDCP Key失败,Remove HDCP Key Fail,Y
Compare_HDCP_Key_Fail,HDCP0004,CommErr_Compare_HDCP_Key_Fail,比对HDCP Key失败,Compare HDCP Key Fail,Y
//**WifiCountryCode,,,,,
Write_WifiCountryCode_Fail,WIFICD01,CommErr_Write_WifiCountryCode_Fail,写入WifiCountryCode失败,Write WifiCountryCode Fail,Y
Read_WifiCountryCode_Fail,WIFICD02,CommErr_Read_WifiCountryCode_Fail,读取WifiCountryCode失败,Read WifiCountryCode Fail,Y
Compare_WifiCountryCode_Fail,WIFICD03,CommErr_Compare_WifiCountryCode_Fail,比对WifiCountryCode失败,Compare WifiCountryCode Fail,Y
//**Factory time,,,,,
Write_Factory_Time_Fail,FACTT001,CommErr_Write_Factory_Time_Fail,写入生产时间失败,Write factory time fail,Y
Read_Factory_Time_Fail,FACTT002,CommErr_Read_Factory_Time_Fail,读取生产时间失败,Read factory time fail,Y
//**Ethernet,,,,,
Read_Ethernet_Mac_Address_Fail,ETHE0001,CommErr_Read_Ethernet_Mac_Address_Fail,读以太网Mac地址失败,Read Ethernet Mac Address Fail,Y
Write_Ethernet_Mac_Address_Fail,ETHE0002,CommErr_Write_Ethernet_Mac_Address_Fail,写以太网Mac地址失败,Write Ethernet Mac Address Fail,Y
//**TimeOut,,,,,
Timeout_Error,TMOT0001,CommErr_Timeout_Error,测试超时,Time out,N
L1_Timeout_Error,TMOT0002,CommErr_L1_Timeout_Error,L1 测试超时,L1 Time out,N
System_Timeout_Error,TMOT0003,CommErr_System_Timeout_Error,System 测试超时,System Time out,N
//**others,,,,,
Load_DLL_Fail,DLL00001,CommErr_Load_DLL_Fail,加载dll失败,Load dll fail,N
Install_APK_Fail,APK00001,CommErr_Install_APK_Fail,安装APK失败,Install APK fail,Y
MMI_ManualTest_Miss,MMIM0001,CommErr_MMI_ManualTest_Miss,MMI手动测项漏测,MMI Manual test miss,N
Slot_Index_Error,SLOT0001,CommErr_Slot_Index_Error,槽位设定错误,Slot index error,N
Parsing_Token_Error,PARS0001,CommErr_Parsing_Token_Error,解析测项参数错误,Parsing token error,N
Testing_Terminated_Error,TESTTM01,CommErr_Testing_Terminated_Error,测试中断,Testing terminated,N
Test_Item_Uncheck_Error,TESTIT01,CommErr_Test_Item_Uncheck_Error,检查到有未测试项目,Test Item Uncheck Error,N
Test_Item_Not_Found_Error,TESTIT02,CommErr_Test_Item_Not_Found_Error,测试项目无法找到对应,Test item not found,N
SBL1_Start_Fail,SBL1S001,CommErr_SBL1_Start_Fail,SBL1执行失败,Executing SBL1 start fail,Y
SBL1_End_Fail,SBL1S002,CommErr_SBL1_End_Fail,SBL1结束失败,Executing SBL1 end fail,Y
