//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Common Qlib,,,,,
Qlib_Connect_Phone_Fail,QLIB0000,ERR_QLIB_PHONE_CONNECT,Qlib 函数 Qlib_Connect_Phone 执行失败,Function Qlib_Connect_Phone execute fail,Y
G03MH02_GSMTest_Max_Power_Fail,G03MH020,ERR_GSMTEST_MAX_POWER,GSM1800 中频高功率控制等级下最大输出功率测试失败,GSM1800 MidCH/HighPCL TX max power test fail,Y
G03HL02_GSMTest_Max_Power_Fail,G03HL020,ERR_GSMTEST_MAX_POWER,GSM1800 高频低功率控制等级下最大输出功率测试失败,GSM1800 HighCH/LowPCL TX max power test fail,Y
G03HH02_GSMTest_Max_Power_Fail,G03HH020,ERR_GSMTEST_MAX_POWER,GSM1800 高频高功率控制等级下最大输出功率测试失败,GSM1800 HighCH/HighPCL TX max power test fail,Y
G04LL02_GSMTest_Max_Power_Fail,G04LL020,ERR_GSMTEST_MAX_POWER,GSM1900 低频低功率控制等级下最大输出功率测试失败,GSM1900 LowCH/LowPCL TX max power test fail,Y
G04LH02_GSMTest_Max_Power_Fail,G04LH020,ERR_GSMTEST_MAX_POWER,GSM1900 低频高功率控制等级下最大输出功率测试失败,GSM1900 LowCH/HighPCL TX max power test fail,Y
G04ML02_GSMTest_Max_Power_Fail,G04ML020,ERR_GSMTEST_MAX_POWER,GSM1900 中频低功率控制等级下最大输出功率测试失败,GSM1900 MidCH/LowPCL TX max power test fail,Y
G04MH02_GSMTest_Max_Power_Fail,G04MH020,ERR_GSMTEST_MAX_POWER,GSM1900 中频高功率控制等级下最大输出功率测试失败,GSM1900 MidCH/HighPCL TX max power test fail,Y
G04HL02_GSMTest_Max_Power_Fail,G04HL020,ERR_GSMTEST_MAX_POWER,GSM1900 高频低功率控制等级下最大输出功率测试失败,GSM1900 HighCH/LowPCL TX max power test fail,Y
G04HH02_GSMTest_Max_Power_Fail,G04HH020,ERR_GSMTEST_MAX_POWER,GSM1900 高频高功率控制等级下最大输出功率测试失败,GSM1900 HighCH/HighPCL TX max power test fail,Y
G01MH03_GSMTest_PVT_Fail,G01MH030,ERR_GSMTEST_PVT,GSM850 中频高功率控制等级下 PVT 测试失败,GSM850 MidCH/PCL05 PVT test fail,Y
G02MH03_GSMTest_PVT_Fail,G02MH030,ERR_GSMTEST_PVT,GSM900 中频高功率控制等级下 PVT 测试失败,GSM900 MidCH/PCL05 PVT test fail,Y
G03MH03_GSMTest_PVT_Fail,G03MH030,ERR_GSMTEST_PVT,GSM1800 中频高功率控制等级下 PVT 测试失败,GSM1800 MidCH/PCL00 PVT test fail,Y
G04MH03_GSMTest_PVT_Fail,G04MH030,ERR_GSMTEST_PVT,GSM1900 中频高功率控制等级下 PVT 测试失败,GSM1900 MidCH/PCL00 PVT test fail,Y
G01MH04_GSMTest_Peak_Phase_Fail,G01MH040,ERR_GSMTEST_PEAK_PHASE,GSM850 中频高功率控制等级下 Peak Phase 测试失败,GSM850 MidCH/PCL05 Peak Phase test fail,Y
G02MH04_GSMTest_Peak_Phase_Fail,G02MH040,ERR_GSMTEST_PEAK_PHASE,GSM900 中频高功率控制等级下 Peak Phase 测试失败,GSM900 MidCH/PCL05 Peak Phase test fail,Y
G03MH04_GSMTest_Peak_Phase_Fail,G03MH040,ERR_GSMTEST_PEAK_PHASE,GSM1800 中频高功率控制等级下 Peak Phase 测试失败,GSM1800 MidCH/PCL00 Peak Phase test fail,Y
G04MH04_GSMTest_Peak_Phase_Fail,G04MH040,ERR_GSMTEST_PEAK_PHASE,GSM1900 中频高功率控制等级下 Peak Phase 测试失败,GSM1900 MidCH/PCL00 Peak Phase test fail,Y
G01MH05_GSMTest_Avg_RMS_Phase_Fail,G01MH050,ERR_GSMTEST_AVG_RMS_PHASE,GSM850 中频高功率控制等级下 RMS Phase 测试失败,GSM850 MidCH/PCL05 RMS Phase test fail,Y
G02MH05_GSMTest_Avg_RMS_Phase_Fail,G02MH050,ERR_GSMTEST_AVG_RMS_PHASE,GSM900 中频高功率控制等级下 RMS Phase 测试失败,GSM900 MidCH/PCL05 RMS Phase test fail,Y
G03MH05_GSMTest_Avg_RMS_Phase_Fail,G03MH050,ERR_GSMTEST_AVG_RMS_PHASE,GSM1800 中频高功率控制等级下 RMS Phase 测试失败,GSM1800 MidCH/PCL00 RMS Phase test fail,Y
G04MH05_GSMTest_Avg_RMS_Phase_Fail,G04MH050,ERR_GSMTEST_AVG_RMS_PHASE,GSM1900 中频高功率控制等级下 RMS Phase 测试失败,GSM1900 MidCH/PCL00 RMS Phase test fail,Y
G01MH06_GSMTest_Frequency_Fail,G01MH060,ERR_GSMTEST_FREQUENCY,GSM850 中频高功率控制等级下频率误差测试失败,GSM850 MidCH/PCL05 Frequency error test fail,Y
G02MH06_GSMTest_Frequency_Fail,G02MH060,ERR_GSMTEST_FREQUENCY,GSM900 中频高功率控制等级下频率误差测试失败,GSM900 MidCH/PCL05 Frequency error test fail,Y
G03MH06_GSMTest_Frequency_Fail,G03MH060,ERR_GSMTEST_FREQUENCY,GSM1800 中频高功率控制等级下频率误差测试失败,GSM1800 MidCH/PCL00 Frequency error test fail,Y
G04MH06_GSMTest_Frequency_Fail,G04MH060,ERR_GSMTEST_FREQUENCY,GSM1900 中频高功率控制等级下频率误差测试失败,GSM1900 MidCH/PCL00 Frequency error test fail,Y
G01MH07_GSMTest_Spectrum_Swit_Fail,G01MH070,ERR_GSMTEST_SPECTRUM_SWIT,GSM850 中频高功率控制等级下开关谱测试失败,GSM850 MidCH/PCL05 Spectrum Switch test fail,Y
G02MH07_GSMTest_Spectrum_Swit_Fail,G02MH070,ERR_GSMTEST_SPECTRUM_SWIT,GSM900 中频高功率控制等级下开关谱测试失败,GSM900 MidCH/PCL05 Spectrum Switch test fail,Y
G03MH07_GSMTest_Spectrum_Swit_Fail,G03MH070,ERR_GSMTEST_SPECTRUM_SWIT,GSM1800 中频高功率控制等级下开关谱测试失败,GSM1800 MidCH/PCL00 Spectrum Switch test fail,Y
G04MH07_GSMTest_Spectrum_Swit_Fail,G04MH070,ERR_GSMTEST_SPECTRUM_SWIT,GSM1900 中频高功率控制等级下开关谱测试失败,GSM1900 MidCH/PCL00 Spectrum Switch test fail,Y
G01MH08_GSMTest_Spectrum_Mod_Fail,G01MH080,ERR_GSMTEST_SPECTRUM_MOD,GSM850 中频高功率控制等级下调制谱测试失败,GSM850 MidCH/PCL05 Spectrum Modulation test fail,Y
G02MH08_GSMTest_Spectrum_Mod_Fail,G02MH080,ERR_GSMTEST_SPECTRUM_MOD,GSM900 中频高功率控制等级下调制谱测试失败,GSM900 MidCH/PCL05 Spectrum Modulation test fail,Y
G03MH08_GSMTest_Spectrum_Mod_Fail,G03MH080,ERR_GSMTEST_SPECTRUM_MOD,GSM1800 中频高功率控制等级下调制谱测试失败,GSM1800 MidCH/PCL00 Spectrum Modulation test fail,Y
G04MH08_GSMTest_Spectrum_Mod_Fail,G04MH080,ERR_GSMTEST_SPECTRUM_MOD,GSM1900 中频高功率控制等级下调制谱测试失败,GSM1900 MidCH/PCL00 Spectrum Modulation test fail,Y
G01MH09_GSMTest_Rx_Lev_Fail,G01MH090,ERR_GSMTEST_RX_LEV,GSM850 中频高功率控制等级下接收功率测试失败,GSM850 MidCH/PCL05 RX level test fail,Y
G02MH09_GSMTest_Rx_Lev_Fail,G02MH090,ERR_GSMTEST_RX_LEV,GSM900 中频高功率控制等级下接收功率测试失败,GSM900 MidCH/PCL05 RX level test fail,Y
G03MH09_GSMTest_Rx_Lev_Fail,G03MH090,ERR_GSMTEST_RX_LEV,GSM1800 中频高功率控制等级下接收功率测试失败,GSM1800 MidCH/PCL00 RX level test fail,Y
G04MH09_GSMTest_Rx_Lev_Fail,G04MH090,ERR_GSMTEST_RX_LEV,GSM1900 中频高功率控制等级下接收功率测试失败,GSM1900 MidCH/PCL00 RX level test fail,Y
G01MH10_GSMTest_Tx_Curr_Fail,G01MH100,ERR_GSMTEST_TX_CURR,GSM850 中频高功率控制等级下发射电流测试失败,GSM850 MidCH/PCL05 TX current test fail,Y
G02MH10_GSMTest_Tx_Curr_Fail,G02MH100,ERR_GSMTEST_TX_CURR,GSM900 中频高功率控制等级下发射电流测试失败,GSM900 MidCH/PCL05 TX current test fail,Y
G03MH10_GSMTest_Tx_Curr_Fail,G03MH100,ERR_GSMTEST_TX_CURR,GSM1800 中频高功率控制等级下发射电流测试失败,GSM1800 MidCH/PCL00 TX current test fail,Y
G04MH10_GSMTest_Tx_Curr_Fail,G04MH100,ERR_GSMTEST_TX_CURR,GSM1900 中频高功率控制等级下发射电流测试失败,GSM1900 MidCH/PCL00 TX current test fail,Y
G01MH11_GSMTest_BER_Fail,G01MH110,ERR_GSMTEST_BER,GSM850 中频高功率控制等级下 BER 测试失败,GSM850 MidCH/PCL05 BER test fail,Y
G02MH11_GSMTest_BER_Fail,G02MH110,ERR_GSMTEST_BER,GSM900 中频高功率控制等级下 BER 测试失败,GSM900 MidCH/PCL05 BER test fail,Y
G03MH11_GSMTest_BER_Fail,G03MH110,ERR_GSMTEST_BER,GSM1800 中频高功率控制等级下 BER 测试失败,GSM1800 MidCH/PCL00 BER test fail,Y
G04MH11_GSMTest_BER_Fail,G04MH110,ERR_GSMTEST_BER,GSM1900 中频高功率控制等级下 BER 测试失败,GSM1900 MidCH/PCL00 BER test fail,Y
//**EDGE test spec,,,,,
E01MH02_EDGETest_Max_Power_Fail,E01MH020,ERR_EDGETEST_MAX_POWER,EDGE GSM850 最大输出功率测试失败,EDGE GSM850 TX max power test fail,Y
E02MH02_EDGETest_Max_Power_Fail,E02MH020,ERR_EDGETEST_MAX_POWER,EDGE GSM900 最大输出功率测试失败,EDGE GSM900 TX max power test fail,Y
E03MH02_EDGETest_Max_Power_Fail,E03MH020,ERR_EDGETEST_MAX_POWER,EDGE GSM1800 最大输出功率测试失败,EDGE GSM1800 TX max power test fail,Y
E04MH02_EDGETest_Max_Power_Fail,E04MH020,ERR_EDGETEST_MAX_POWER,EDGE GSM1900 最大输出功率测试失败,EDGE GSM1900 TX max power test fail,Y
E01MH03_EDGETest_EVM_RMS_Fail,E01MH030,ERR_EDGETEST_EVM_RMS,EDGE GSM850 EVMRMS 测试失败,EDGE GSM850 EVMRMS test fail,Y
E02MH03_EDGETest_EVM_RMS_Fail,E02MH030,ERR_EDGETEST_EVM_RMS,EDGE GSM900 EVMRMS 测试失败,EDGE GSM900 EVMRMS test fail,Y
E03MH03_EDGETest_EVM_RMS_Fail,E03MH030,ERR_EDGETEST_EVM_RMS,EDGE GSM1800 EVMRMS 测试失败,EDGE GSM1800 EVMRMS test fail,Y
E04MH03_EDGETest_EVM_RMS_Fail,E04MH030,ERR_EDGETEST_EVM_RMS,EDGE GSM1900 EVMRMS 测试失败,EDGE GSM1900 EVMRMS test fail,Y
E01MH04_EDGETest_EVM_95_Fail,E01MH040,ERR_EDGETEST_EVM_95,EDGE GSM850 EVM95 测试失败,EDGE GSM850 EVM95 test fail,Y
E02MH04_EDGETest_EVM_95_Fail,E02MH040,ERR_EDGETEST_EVM_95,EDGE GSM900 EVM95 测试失败,EDGE GSM900 EVM95 test fail,Y
E03MH04_EDGETest_EVM_95_Fail,E03MH040,ERR_EDGETEST_EVM_95,EDGE GSM1800 EVM95 测试失败,EDGE GSM1800 EVM95 test fail,Y
E04MH04_EDGETest_EVM_95_Fail,E04MH040,ERR_EDGETEST_EVM_95,EDGE GSM1900 EVM95 测试失败,EDGE GSM1900 EVM95 test fail,Y
E01MH05_EDGETest_Frequency_Fail,E01MH050,ERR_EDGETEST_FREQUENCY,EDGE GSM850 频率误差测试失败,EDGE GSM850 Frequency error test fail,Y
E02MH05_EDGETest_Frequency_Fail,E02MH050,ERR_EDGETEST_FREQUENCY,EDGE GSM900 频率误差测试失败,EDGE GSM900 Frequency error test fail,Y
E03MH05_EDGETest_Frequency_Fail,E03MH050,ERR_EDGETEST_FREQUENCY,EDGE GSM1800 频率误差测试失败,EDGE GSM1800 Frequency error test fail,Y
E04MH05_EDGETest_Frequency_Fail,E04MH050,ERR_EDGETEST_FREQUENCY,EDGE GSM1900 频率误差测试失败,EDGE GSM1900 Frequency error test fail,Y
E01MH06_EDGETest_Spectrum_Swit_Fail,E01MH060,ERR_EDGETEST_SPECTRUM_SWIT,EDGE GSM850 开关谱测试失败,EDGE GSM850 Spectrum Switch test fail,Y
E02MH06_EDGETest_Spectrum_Swit_Fail,E02MH060,ERR_EDGETEST_SPECTRUM_SWIT,EDGE GSM900 开关谱测试失败,EDGE GSM900 Spectrum Switch test fail,Y
E03MH06_EDGETest_Spectrum_Swit_Fail,E03MH060,ERR_EDGETEST_SPECTRUM_SWIT,EDGE GSM1800 开关谱测试失败,EDGE GSM1800 Spectrum Switch test fail,Y
E04MH06_EDGETest_Spectrum_Swit_Fail,E04MH060,ERR_EDGETEST_SPECTRUM_SWIT,EDGE GSM1900 开关谱测试失败,EDGE GSM1900 Spectrum Switch test fail,Y
E01MH07_EDGETest_Spectrum_Mod_Fail,E01MH070,ERR_EDGETEST_SPECTRUM_MOD,EDGE GSM850 调制谱测试失败,EDGE GSM850 Spectrum Modulation test fail,Y
E02MH07_EDGETest_Spectrum_Mod_Fail,E02MH070,ERR_EDGETEST_SPECTRUM_MOD,EDGE GSM900 调制谱测试失败,EDGE GSM900 Spectrum Modulation test fail,Y
E03MH07_EDGETest_Spectrum_Mod_Fail,E03MH070,ERR_EDGETEST_SPECTRUM_MOD,EDGE GSM1800 调制谱测试失败,EDGE GSM1800 Spectrum Modulation test fail,Y
E04MH07_EDGETest_Spectrum_Mod_Fail,E04MH070,ERR_EDGETEST_SPECTRUM_MOD,EDGE GSM1900 调制谱测试失败,EDGE GSM1900 Spectrum Modulation test fail,Y
E01MH08_EDGETest_PVT_Fail,E01MH080,ERR_EDGETEST_PVT,EDGE GSM850 PVT 测试失败,EDGE GSM850 PVT test fail,Y
E02MH08_EDGETest_PVT_Fail,E02MH080,ERR_EDGETEST_PVT,EDGE GSM900 PVT 测试失败,EDGE GSM900 PVT test fail,Y
E03MH08_EDGETest_PVT_Fail,E03MH080,ERR_EDGETEST_PVT,EDGE GSM1800 PVT 测试失败,EDGE GSM1800 PVT test fail,Y
E04MH08_EDGETest_PVT_Fail,E04MH080,ERR_EDGETEST_PVT,EDGE GSM1900 PVT 测试失败,EDGE GSM1900 PVT test fail,Y
E01MH09_EDGETest_Peak_EVM_Fail,E01MH090,ERR_EDGETEST_Peak_EVM,EDGE GSM850 Peak EVM 测试失败,EDGE GSM850 Peak EVM test fail,Y
E02MH09_EDGETest_Peak_EVM_Fail,E02MH090,ERR_EDGETEST_Peak_EVM,EDGE GSM900 Peak EVM 测试失败,EDGE GSM900 Peak EVM test fail,Y
E03MH09_EDGETest_Peak_EVM_Fail,E03MH090,ERR_EDGETEST_Peak_EVM,EDGE GSM1800 Peak EVM 测试失败,EDGE GSM1800 Peak EVM test fail,Y
E04MH09_EDGETest_Peak_EVM_Fail,E04MH090,ERR_EDGETEST_Peak_EVM,EDGE GSM1900 Peak EVM 测试失败,EDGE GSM1900 Peak EVM test fail,Y
//**WCDMA test spec,,,,,
W01L002_WCDMATest_Max_Power_Fail,W01L0020,ERR_WCDMATEST_MAX_POWER,WCDMA2100 低频最大输出功率测试失败,WCDMA2100 low channel max power test fail,Y
W02L002_WCDMATest_Max_Power_Fail,W02L0020,ERR_WCDMATEST_MAX_POWER,WCDMA1900 低频最大输出功率测试失败,WCDMA1900 low channel max power test fail,Y
W04L002_WCDMATest_Max_Power_Fail,W04L0020,ERR_WCDMATEST_MAX_POWER,WCDMA1700 低频最大输出功率测试失败,WCDMA1700 low channel max power test fail,Y
W05L002_WCDMATest_Max_Power_Fail,W05L0020,ERR_WCDMATEST_MAX_POWER,WCDMA850 低频最大输出功率测试失败,WCDMA850 low channel max power test fail,Y
W08L002_WCDMATest_Max_Power_Fail,W08L0020,ERR_WCDMATEST_MAX_POWER,WCDMA900 低频最大输出功率测试失败,WCDMA900 low channel max power test fail,Y
W01M002_WCDMATest_Max_Power_Fail,W01M0020,ERR_WCDMATEST_MAX_POWER,WCDMA2100 中频最大输出功率测试失败,WCDMA2100 mid channel max power test fail,Y
W02M002_WCDMATest_Max_Power_Fail,W02M0020,ERR_WCDMATEST_MAX_POWER,WCDMA1900 中频最大输出功率测试失败,WCDMA1900 mid channel max power test fail,Y
W04M002_WCDMATest_Max_Power_Fail,W04M0020,ERR_WCDMATEST_MAX_POWER,WCDMA1700 中频最大输出功率测试失败,WCDMA1700 mid channel max power test fail,Y
W05M002_WCDMATest_Max_Power_Fail,W05M0020,ERR_WCDMATEST_MAX_POWER,WCDMA850 中频最大输出功率测试失败,WCDMA850 mid channel max power test fail,Y
W08M002_WCDMATest_Max_Power_Fail,W08M0020,ERR_WCDMATEST_MAX_POWER,WCDMA900 中频最大输出功率测试失败,WCDMA900 mid channel max power test fail,Y
W01H002_WCDMATest_Max_Power_Fail,W01H0020,ERR_WCDMATEST_MAX_POWER,WCDMA2100 高频最大输出功率测试失败,WCDMA2100 high channel max power test fail,Y
W02H002_WCDMATest_Max_Power_Fail,W02H0020,ERR_WCDMATEST_MAX_POWER,WCDMA1900 高频最大输出功率测试失败,WCDMA1900 high channel max power test fail,Y
W04H002_WCDMATest_Max_Power_Fail,W04H0020,ERR_WCDMATEST_MAX_POWER,WCDMA1700 高频最大输出功率测试失败,WCDMA1700 high channel max power test fail,Y
W05H002_WCDMATest_Max_Power_Fail,W05H0020,ERR_WCDMATEST_MAX_POWER,WCDMA850 高频最大输出功率测试失败,WCDMA850 high channel max power test fail,Y
W08H002_WCDMATest_Max_Power_Fail,W08H0020,ERR_WCDMATEST_MAX_POWER,WCDMA900 高频最大输出功率测试失败,WCDMA900 high channel max power test fail,Y
W01M003_WCDMATest_Min_Power_Fail,W01M0030,ERR_WCDMATEST_MINPOWER,WCDMA2100 中频最小输出功率测试失败,WCDMA2100 Mid-CH min power test fail,Y
W02M003_WCDMATest_Min_Power_Fail,W02M0030,ERR_WCDMATEST_MINPOWER,WCDMA1900 中频最小输出功率测试失败,WCDMA1900 Mid-CH min power test fail,Y
W04M003_WCDMATest_Min_Power_Fail,W04M0030,ERR_WCDMATEST_MINPOWER,WCDMA1700 中频最小输出功率测试失败,WCDMA1700 Mid-CH min power test fail,Y
W05M003_WCDMATest_Min_Power_Fail,W05M0030,ERR_WCDMATEST_MINPOWER,WCDMA850 中频最小输出功率测试失败,WCDMA850 Mid-CH min power test fail,Y
W08M003_WCDMATest_Min_Power_Fail,W08M0030,ERR_WCDMATEST_MINPOWER,WCDMA900 中频最小输出功率测试失败,WCDMA900 Mid-CH min power test fail,Y
W01M004_WCDMATest_EVM_RMS_Fail,W01M0040,ERR_WCDMATEST_EVM_RMS,WCDMA2100 中频EVM 测试失败,WCDMA2100 Mid-CH EVM test fail,Y
W02M004_WCDMATest_EVM_RMS_Fail,W02M0040,ERR_WCDMATEST_EVM_RMS,WCDMA1900 中频EVM 测试失败,WCDMA1900 Mid-CH EVM test fail,Y
W04M004_WCDMATest_EVM_RMS_Fail,W04M0040,ERR_WCDMATEST_EVM_RMS,WCDMA1700 中频EVM 测试失败,WCDMA1700 Mid-CH EVM test fail,Y
W05M004_WCDMATest_EVM_RMS_Fail,W05M0040,ERR_WCDMATEST_EVM_RMS,WCDMA850 中频EVM 测试失败,WCDMA850 Mid-CH EVM test fail,Y
W08M004_WCDMATest_EVM_RMS_Fail,W08M0040,ERR_WCDMATEST_EVM_RMS,WCDMA900 中频EVM 测试失败,WCDMA900 Mid-CH EVM test fail,Y
W01M005_WCDMATest_Frequency_Fail,W01M0050,ERR_WCDMATEST_FREQUENCY,WCDMA2100 中频频率误差测试失败,WCDMA2100 Mid-CH frequency error test fail,Y
W02M005_WCDMATest_Frequency_Fail,W02M0050,ERR_WCDMATEST_FREQUENCY,WCDMA1900中频 频率误差测试失败,WCDMA1900 Mid-CH frequency error test fail,Y
W04M005_WCDMATest_Frequency_Fail,W04M0050,ERR_WCDMATEST_FREQUENCY,WCDMA1700 中频频率误差测试失败,WCDMA1700 Mid-CH frequency error test fail,Y
W05M005_WCDMATest_Frequency_Fail,W05M0050,ERR_WCDMATEST_FREQUENCY,WCDMA850 中频频率误差测试失败,WCDMA850 Mid-CH frequency error test fail,Y
W08M005_WCDMATest_Frequency_Fail,W08M0050,ERR_WCDMATEST_FREQUENCY,WCDMA900 中频频率误差测试失败,WCDMA900 Mid-CH frequency error test fail,Y
W01M006_WCDMATest_Trans_Time_Fail,W01M0060,ERR_WCDMATEST_TRANS_TIME,WCDMA2100 中频参考时间误差测试失败,WCDMA2100 Mid-CH transmit time error test fail,Y
W02M006_WCDMATest_Trans_Time_Fail,W02M0060,ERR_WCDMATEST_TRANS_TIME,WCDMA1900 中频参考时间误差测试失败,WCDMA1900 Mid-CH transmit time error test fail,Y
W04M006_WCDMATest_Trans_Time_Fail,W04M0060,ERR_WCDMATEST_TRANS_TIME,WCDMA1700 中频参考时间误差测试失败,WCDMA1700 Mid-CH transmit time error test fail,Y
W05M006_WCDMATest_Trans_Time_Fail,W05M0060,ERR_WCDMATEST_TRANS_TIME,WCDMA850 中频参考时间误差测试失败,WCDMA850 Mid-CH transmit time error test fail,Y
W08M006_WCDMATest_Trans_Time_Fail,W08M0060,ERR_WCDMATEST_TRANS_TIME,WCDMA900 中频参考时间误差测试失败,WCDMA900 Mid-CH transmit time error test fail,Y
W01M007_WCDMATest_Spectrum_EMask_Fail,W01M0070,ERR_WCDMATEST_SPECTRUM_EMASK,WCDMA2100中频 EMask 测试失败,WCDMA2100 Mid-CH EMask test fail,Y
W02M007_WCDMATest_Spectrum_EMask_Fail,W02M0070,ERR_WCDMATEST_SPECTRUM_EMASK,WCDMA1900中频 EMask 测试失败,WCDMA1900 Mid-CH EMask test fail,Y
W04M007_WCDMATest_Spectrum_EMask_Fail,W04M0070,ERR_WCDMATEST_SPECTRUM_EMASK,WCDMA1700中频 EMask 测试失败,WCDMA1700 Mid-CH EMask test fail,Y
W05M007_WCDMATest_Spectrum_EMask_Fail,W05M0070,ERR_WCDMATEST_SPECTRUM_EMASK,WCDMA850 中频EMask 测试失败,WCDMA850 Mid-CH EMask test fail,Y
W08M007_WCDMATest_Spectrum_EMask_Fail,W08M0070,ERR_WCDMATEST_SPECTRUM_EMASK,WCDMA900 中频EMask 测试失败,WCDMA900 Mid-CH EMask test fail,Y
W01M010_WCDMATest_OBW_Fail,W01M0100,ERR_WCDMATEST_OBW,WCDMA2100中频 OBW 测试失败,WCDMA2100 Mid-CH OBW test fail,Y
W02M010_WCDMATest_OBW_Fail,W02M0100,ERR_WCDMATEST_OBW,WCDMA1900中频 OBW 测试失败,WCDMA1900 Mid-CH OBW test fail,Y
W04M010_WCDMATest_OBW_Fail,W04M0100,ERR_WCDMATEST_OBW,WCDMA1700中频 OBW 测试失败,WCDMA1700 Mid-CH OBW test fail,Y
W05M010_WCDMATest_OBW_Fail,W05M0100,ERR_WCDMATEST_OBW,WCDMA850 中频OBW 测试失败,WCDMA850 Mid-CH OBW test fail,Y
W08M010_WCDMATest_OBW_Fail,W08M0100,ERR_WCDMATEST_OBW,WCDMA900 中频OBW 测试失败,WCDMA900 Mid-CH OBW test fail,Y
W01M011_WCDMATest_BER_Fail,W01M0110,ERR_WCDMATEST_BER,WCDMA2100 中频BER 测试失败,WCDMA2100 Mid-CH BER test fail,Y
W02M011_WCDMATest_BER_Fail,W02M0110,ERR_WCDMATEST_BER,WCDMA1900 中频BER 测试失败,WCDMA1900 Mid-CH BER test fail,Y
W04M011_WCDMATest_BER_Fail,W04M0110,ERR_WCDMATEST_BER,WCDMA1700 中频BER 测试失败,WCDMA1700 Mid-CH BER test fail,Y
W05M011_WCDMATest_BER_Fail,W05M0110,ERR_WCDMATEST_BER,WCDMA850 中频BER 测试失败,WCDMA850 Mid-CH BER test fail,Y
W08M011_WCDMATest_BER_Fail,W08M0110,ERR_WCDMATEST_BER,WCDMA900 中频BER 测试失败,WCDMA900 Mid-CH BER test fail,Y
W01ML12_WCDMATest_RxLev_Fail,W01ML120,ERR_WCDMATEST_RXLEV,WCDMA2100 中频接收功率1测试失败,WCDMA2100 Mid-CH RX level1 test fail,Y
W02ML12_WCDMATest_RxLev_Fail,W02ML120,ERR_WCDMATEST_RXLEV,WCDMA1900 中频接收功率1测试失败,WCDMA1900 Mid-CH RX level1 test fail,Y
W04ML12_WCDMATest_RxLev_Fail,W04ML120,ERR_WCDMATEST_RXLEV,WCDMA1700 中频接收功率1测试失败,WCDMA1700 Mid-CH RX level1 test fail,Y
W05ML12_WCDMATest_RxLev_Fail,W05ML120,ERR_WCDMATEST_RXLEV,WCDMA850 中频接收功率1测试失败,WCDMA850 Mid-CH RX level1 test fail,Y
W08ML12_WCDMATest_RxLev_Fail,W08ML120,ERR_WCDMATEST_RXLEV,WCDMA900 中频接收功率1测试失败,WCDMA900 Mid-CH RX level1 test fail,Y
W01MH12_WCDMATest_RxLev_Fail,W01MH120,ERR_WCDMATEST_RXLEV,WCDMA2100 中频接收功率2测试失败,WCDMA2100 Mid-CH RX level2 test fail,Y
W02MH12_WCDMATest_RxLev_Fail,W02MH120,ERR_WCDMATEST_RXLEV,WCDMA1900 中频接收功率2测试失败,WCDMA1900 Mid-CH RX level2 test fail,Y
W04MH12_WCDMATest_RxLev_Fail,W04MH120,ERR_WCDMATEST_RXLEV,WCDMA1700 中频接收功率2测试失败,WCDMA1700 Mid-CH RX level2 test fail,Y
W05MH12_WCDMATest_RxLev_Fail,W05MH120,ERR_WCDMATEST_RXLEV,WCDMA850 中频接收功率2测试失败,WCDMA850 Mid-CH RX level2 test fail,Y
W08M012_WCDMATest_RxLev_Fail,W08M0120,ERR_WCDMATEST_RXLEV,WCDMA900 中频接收功率2测试失败,WCDMA900 Mid-CH RX level2 test fail,Y
W01M014_WCDMATest_ILPCE_Fail,W01M0140,ERR_WCDMATEST_ILPCE,WCDMA2100 中频ILPCE 测试失败,WCDMA2100 Mid-CH ILPCE test fail,Y
W02M014_WCDMATest_ILPCE_Fail,W02M0140,ERR_WCDMATEST_ILPCE,WCDMA1900 中频ILPCE 测试失败,WCDMA1900 Mid-CH ILPCE test fail,Y
W04M014_WCDMATest_ILPCE_Fail,W04M0140,ERR_WCDMATEST_ILPCE,WCDMA1700 中频ILPCE 测试失败,WCDMA1700 Mid-CH ILPCE test fail,Y
W05M014_WCDMATest_ILPCE_Fail,W05M0140,ERR_WCDMATEST_ILPCE,WCDMA850 中频ILPCE 测试失败,WCDMA850 Mid-CH ILPCE test fail,Y
W08M014_WCDMATest_ILPCE_Fail,W08M0140,ERR_WCDMATEST_ILPCE,WCDMA900 中频ILPCE 测试失败,WCDMA900 Mid-CH ILPCE test fail,Y
W01M015_WCDMATest_ILPCF_Fail,W01M0150,ERR_WCDMATEST_ILPCF,WCDMA2100 中频ILPCF 测试失败,WCDMA2100 Mid-CH ILPCF test fail,Y
W02M015_WCDMATest_ILPCF_Fail,W02M0150,ERR_WCDMATEST_ILPCF,WCDMA1900 中频ILPCF 测试失败,WCDMA1900 Mid-CH ILPCF test fail,Y
W04M015_WCDMATest_ILPCF_Fail,W04M0150,ERR_WCDMATEST_ILPCF,WCDMA1700中频 ILPCF 测试失败,WCDMA1700 Mid-CH ILPCF test fail,Y
W05M015_WCDMATest_ILPCF_Fail,W05M0150,ERR_WCDMATEST_ILPCF,WCDMA850 中频ILPCF 测试失败,WCDMA850 Mid-CH ILPCF test fail,Y
W08M015_WCDMATest_ILPCF_Fail,W08M0150,ERR_WCDMATEST_ILPCF,WCDMA900 中频ILPCF 测试失败,WCDMA900 Mid-CH ILPCF test fail,Y
